# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/rangeles/.conda/envs/funannotate/lib/python2.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /space21/PGE/rangeles/TGFH/TGFH/Sesion2/out/P.pastoris_GS115/predict_misc/busco.evm.proteins.fa -o p.pastoris_gs115_xxx -l /space21/PGE/rangeles/bin/funannotate_db/dikarya/ -m proteins -c 28 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926077L	Missing
EOG0926079Q	Missing
EOG092607OQ	Complete	evm.model.scaffold_3.212	711.5	769
EOG092607QZ	Complete	evm.model.scaffold_4.176	989.8	761
EOG092607ZS	Complete	evm.model.scaffold_2.16	1282.4	1029
EOG092608AE	Complete	evm.model.scaffold_2.146	965.2	933
EOG092608AV	Complete	evm.model.scaffold_1.239	864.8	862
EOG092608C4	Complete	evm.model.scaffold_1.301	1627.5	1012
EOG092608GK	Complete	evm.model.scaffold_3.71	300.3	633
EOG092608L0	Complete	evm.model.scaffold_4.134	1484.3	920
EOG092608RH	Complete	evm.model.scaffold_1.297	440.9	907
EOG092608T8	Complete	evm.model.scaffold_2.101	1144.3	745
EOG092608WI	Complete	evm.model.scaffold_2.195	533.1	510
EOG092608WU	Complete	evm.model.scaffold_1.70	458.5	732
EOG092608ZS	Complete	evm.model.scaffold_2.251	1124.6	766
EOG0926092K	Complete	evm.model.scaffold_4.153	1580.4	908
EOG09260931	Complete	evm.model.scaffold_1.171	370.8	626
EOG092609JB	Complete	evm.model.scaffold_2.21	786.5	729
EOG092609O9	Missing
EOG092609RF	Complete	evm.model.scaffold_2.111	1333.1	941
EOG092609YT	Complete	evm.model.scaffold_2.24	805.4	740
EOG09260A27	Complete	evm.model.scaffold_1.113	701.0	577
EOG09260A6Q	Complete	evm.model.scaffold_2.75	522.0	663
EOG09260A98	Complete	evm.model.scaffold_1.214	615.1	778
EOG09260ABY	Complete	evm.model.scaffold_2.247	1426.3	944
EOG09260AEC	Complete	evm.model.scaffold_1.248	613.4	536
EOG09260APA	Missing
EOG09260AQB	Complete	evm.model.scaffold_3.225	1257.3	792
EOG09260AZA	Complete	evm.model.scaffold_2.13	1528.5	852
EOG09260AZK	Complete	evm.model.scaffold_2.260	738.7	674
EOG09260AZM	Complete	evm.model.scaffold_1.215	1360.1	823
EOG09260B3H	Complete	evm.model.scaffold_4.125	608.4	525
EOG09260B3X	Complete	evm.model.scaffold_2.197	961.3	725
EOG09260B65	Complete	evm.model.scaffold_2.155	418.3	713
EOG09260BFE	Missing
EOG09260BL6	Complete	evm.model.scaffold_1.156	563.2	493
EOG09260BRA	Complete	evm.model.scaffold_1.287	631.7	385
EOG09260BSW	Complete	evm.model.scaffold_1.157	955.0	750
EOG09260BYL	Complete	evm.model.scaffold_1.331	987.7	522
EOG09260BZ0	Complete	evm.model.scaffold_4.201	483.7	666
EOG09260C2V	Complete	evm.model.scaffold_3.134	533.5	694
EOG09260C5W	Missing
EOG09260CKC	Missing
EOG09260CMZ	Complete	evm.model.scaffold_1.137	415.2	627
EOG09260DBG	Complete	evm.model.scaffold_1.343	1187.8	776
EOG09260DFH	Complete	evm.model.scaffold_4.123	844.7	812
EOG09260DFJ	Missing
EOG09260DP1	Complete	evm.model.scaffold_2.15	1101.6	753
EOG09260DUR	Complete	evm.model.scaffold_3.126	336.6	546
EOG09260DUW	Complete	evm.model.scaffold_2.49	493.8	637
EOG09260DXP	Complete	evm.model.scaffold_3.17	836.1	635
EOG09260E2O	Complete	evm.model.scaffold_2.57	1057.1	687
EOG09260E8K	Complete	evm.model.scaffold_2.69	1124.3	818
EOG09260EAZ	Complete	evm.model.scaffold_3.223	588.9	790
EOG09260EE7	Complete	evm.model.scaffold_2.151	883.6	746
EOG09260EOI	Complete	evm.model.scaffold_1.315	405.4	830
EOG09260EPQ	Complete	evm.model.scaffold_1.321	817.9	615
EOG09260EPS	Missing
EOG09260EQD	Complete	evm.model.scaffold_4.11	244.9	396
EOG09260ERO	Complete	evm.model.scaffold_3.179	1460.0	882
EOG09260ETR	Complete	evm.model.scaffold_2.219	1413.4	791
EOG09260EZT	Complete	evm.model.scaffold_1.174	449.5	508
EOG09260FFP	Complete	evm.model.scaffold_3.177	249.9	189
EOG09260FKU	Complete	evm.model.scaffold_2.150	260.5	298
EOG09260FL2	Complete	evm.model.scaffold_3.43	590.7	690
EOG09260FMW	Complete	evm.model.scaffold_1.48	1086.6	697
EOG09260FPA	Missing
EOG09260FX0	Complete	evm.model.scaffold_4.189	660.8	803
EOG09260FZZ	Complete	evm.model.scaffold_1.38	569.3	696
EOG09260GF5	Complete	evm.model.scaffold_1.185	613.8	1100
EOG09260GIX	Complete	evm.model.scaffold_4.150	383.8	540
EOG09260GKG	Complete	evm.model.scaffold_4.178	1188.7	800
EOG09260GOF	Complete	evm.model.scaffold_4.170	418.0	335
EOG09260GR8	Complete	evm.model.scaffold_4.66	448.9	512
EOG09260H6E	Complete	evm.model.scaffold_1.68	328.7	235
EOG09260H81	Complete	evm.model.scaffold_2.307	272.4	636
EOG09260HMA	Complete	evm.model.scaffold_4.60	1082.3	781
EOG09260HPO	Complete	evm.model.scaffold_3.104	1284.2	786
EOG09260HS3	Complete	evm.model.scaffold_2.139	628.2	757
EOG09260HSP	Complete	evm.model.scaffold_1.209	1065.1	574
EOG09260IU8	Complete	evm.model.scaffold_1.314	287.3	661
EOG09260J53	Missing
EOG09260J8F	Complete	evm.model.scaffold_2.66	689.4	435
EOG09260J97	Complete	evm.model.scaffold_1.139	604.4	585
EOG09260JDM	Complete	evm.model.scaffold_1.25	304.0	256
EOG09260JED	Complete	evm.model.scaffold_3.191	1103.5	734
EOG09260JJW	Complete	evm.model.scaffold_2.107	599.5	557
EOG09260JNY	Complete	evm.model.scaffold_1.345	196.9	406
EOG09260JO5	Complete	evm.model.scaffold_2.243	923.9	819
EOG09260JPV	Complete	evm.model.scaffold_1.6	548.8	704
EOG09260JT9	Complete	evm.model.scaffold_1.254	1104.0	687
EOG09260JTZ	Complete	evm.model.scaffold_4.46	1049.6	786
EOG09260K24	Complete	evm.model.scaffold_3.146	676.9	571
EOG09260K29	Complete	evm.model.scaffold_3.235	310.8	267
EOG09260K4B	Complete	evm.model.scaffold_3.169	637.4	521
EOG09260K4V	Complete	evm.model.scaffold_1.296	971.1	748
EOG09260K5F	Complete	evm.model.scaffold_1.278	416.8	584
EOG09260KCB	Complete	evm.model.scaffold_4.15	261.1	481
EOG09260KCW	Complete	evm.model.scaffold_2.207	966.5	574
EOG09260KDB	Complete	evm.model.scaffold_2.284	901.1	721
EOG09260KGS	Missing
EOG09260KIY	Complete	evm.model.scaffold_3.128	563.5	389
EOG09260KM4	Complete	evm.model.scaffold_1.155	235.9	263
EOG09260KNI	Complete	evm.model.scaffold_4.155	309.3	290
EOG09260KNR	Complete	evm.model.scaffold_4.4	570.3	420
EOG09260KUC	Complete	evm.model.scaffold_2.45	839.1	577
EOG09260KWP	Complete	evm.model.scaffold_4.138	695.8	529
EOG09260LBU	Complete	evm.model.scaffold_2.31	1071.1	660
EOG09260LI6	Complete	evm.model.scaffold_1.260	678.3	608
EOG09260LJ8	Complete	evm.model.scaffold_2.231	486.6	519
EOG09260LRX	Complete	evm.model.scaffold_2.157	458.8	561
EOG09260LS9	Complete	evm.model.scaffold_1.276	350.7	241
EOG09260LVD	Complete	evm.model.scaffold_2.118	195.5	262
EOG09260M44	Complete	evm.model.scaffold_2.153	312.1	544
EOG09260M87	Complete	evm.model.scaffold_1.291	706.2	570
EOG09260MBW	Complete	evm.model.scaffold_2.37	399.7	491
EOG09260MRU	Complete	evm.model.scaffold_3.54	895.7	637
EOG09260N2T	Complete	evm.model.scaffold_3.136	339.1	409
EOG09260N53	Complete	evm.model.scaffold_1.43	555.9	511
EOG09260NAN	Missing
EOG09260NC6	Complete	evm.model.scaffold_3.82	847.1	533
EOG09260NE0	Complete	evm.model.scaffold_1.79	112.1	120
EOG09260NHB	Missing
EOG09260NHN	Complete	evm.model.scaffold_2.22	1123.7	749
EOG09260NJW	Complete	evm.model.scaffold_2.166	984.7	731
EOG09260NNR	Complete	evm.model.scaffold_1.193	886.9	546
EOG09260NWN	Complete	evm.model.scaffold_1.123	688.8	713
EOG09260NXC	Complete	evm.model.scaffold_3.250	537.4	586
EOG09260NXJ	Complete	evm.model.scaffold_4.193	435.0	634
EOG09260NY2	Missing
EOG09260NZ8	Complete	evm.model.scaffold_2.132	520.1	418
EOG09260OCI	Missing
EOG09260OE9	Complete	evm.model.scaffold_4.6	570.4	759
EOG09260OLB	Complete	evm.model.scaffold_4.43	270.1	300
EOG09260OM6	Complete	evm.model.scaffold_3.226	1039.8	646
EOG09260OQ8	Complete	evm.model.scaffold_3.163	780.9	688
EOG09260OZU	Complete	evm.model.scaffold_2.191	515.6	869
EOG09260P2K	Complete	evm.model.scaffold_3.238	581.9	529
EOG09260P5R	Complete	evm.model.scaffold_1.313	325.4	264
EOG09260PI1	Complete	evm.model.scaffold_2.169	272.2	407
EOG09260PJ9	Missing
EOG09260QNB	Complete	evm.model.scaffold_2.287	581.9	551
EOG09260QVP	Complete	evm.model.scaffold_2.71	210.1	293
EOG09260R84	Missing
EOG09260R9L	Complete	evm.model.scaffold_1.262	255.7	454
EOG09260RGH	Missing
EOG09260RNZ	Complete	evm.model.scaffold_1.189	393.0	512
EOG09260RRC	Missing
EOG09260RRN	Complete	evm.model.scaffold_4.103	1130.2	728
EOG09260RS7	Complete	evm.model.scaffold_3.91	529.5	512
EOG09260RVQ	Missing
EOG09260S2Z	Missing
EOG09260S3L	Complete	evm.model.scaffold_2.215	301.5	411
EOG09260S5R	Complete	evm.model.scaffold_1.206	515.7	412
EOG09260SAH	Missing
EOG09260SIZ	Missing
EOG09260SJV	Complete	evm.model.scaffold_1.47	770.6	678
EOG09260SL3	Complete	evm.model.scaffold_2.83	1072.8	585
EOG09260SR2	Missing
EOG09260SRF	Complete	evm.model.scaffold_2.156	1036.8	611
EOG09260T28	Complete	evm.model.scaffold_1.289	634.9	618
EOG09260T4S	Complete	evm.model.scaffold_1.339	487.1	462
EOG09260TDY	Complete	evm.model.scaffold_4.57	240.4	362
EOG09260THV	Complete	evm.model.scaffold_1.71	407.2	301
EOG09260TLW	Complete	evm.model.scaffold_1.235	688.1	550
EOG09260TPT	Missing
EOG09260TUT	Complete	evm.model.scaffold_2.76	757.7	465
EOG09260TVA	Complete	evm.model.scaffold_1.286	1009.2	592
EOG09260TWS	Complete	evm.model.scaffold_4.185	887.3	571
EOG09260U6R	Missing
EOG09260UA2	Missing
EOG09260UJK	Complete	evm.model.scaffold_2.298	285.5	359
EOG09260UXC	Complete	evm.model.scaffold_1.249	466.2	572
EOG09260V5Q	Complete	evm.model.scaffold_4.108	860.1	692
EOG09260V8Q	Missing
EOG09260VCG	Complete	evm.model.scaffold_4.115	269.2	339
EOG09260VEY	Complete	evm.model.scaffold_1.95	361.3	481
EOG09260VHV	Complete	evm.model.scaffold_2.209	336.5	618
EOG09260VTA	Complete	evm.model.scaffold_3.25	752.8	493
EOG09260VTN	Complete	evm.model.scaffold_1.187	703.6	483
EOG09260VYK	Complete	evm.model.scaffold_1.326	637.5	419
EOG09260W52	Complete	evm.model.scaffold_2.52	283.9	457
EOG09260W8D	Missing
EOG09260W9L	Complete	evm.model.scaffold_3.132	258.2	207
EOG09260WCZ	Complete	evm.model.scaffold_1.127	394.5	513
EOG09260WG2	Complete	evm.model.scaffold_2.301	570.4	524
EOG09260WGT	Complete	evm.model.scaffold_4.112	600.0	461
EOG09260WU6	Complete	evm.model.scaffold_2.82	353.2	361
EOG09260WUA	Complete	evm.model.scaffold_2.40	267.4	365
EOG09260WUS	Missing
EOG09260WYQ	Complete	evm.model.scaffold_3.66	917.4	622
EOG09260XH5	Complete	evm.model.scaffold_1.103	526.3	390
EOG09260XL0	Complete	evm.model.scaffold_1.104	601.8	493
EOG09260XMI	Complete	evm.model.scaffold_4.42	540.2	542
EOG09260XOG	Complete	evm.model.scaffold_2.173	993.8	596
EOG09260XQV	Complete	evm.model.scaffold_3.44	506.9	459
EOG09260XSR	Complete	evm.model.scaffold_3.195	243.8	333
EOG09260Y2Q	Complete	evm.model.scaffold_3.100	400.7	312
EOG09260YMF	Complete	evm.model.scaffold_4.50	815.0	564
EOG09260Z3X	Complete	evm.model.scaffold_3.156	768.2	459
EOG09260Z5E	Missing
EOG09260ZG2	Complete	evm.model.scaffold_4.54	515.6	424
EOG09260ZWU	Complete	evm.model.scaffold_2.201	1106.0	621
EOG09261031	Complete	evm.model.scaffold_2.230	414.8	349
EOG092610KH	Complete	evm.model.scaffold_2.177	681.5	464
EOG092610LP	Complete	evm.model.scaffold_4.52	974.5	576
EOG092610LQ	Complete	evm.model.scaffold_3.102	334.7	254
EOG092610QT	Missing
EOG092610TN	Complete	evm.model.scaffold_3.63	646.3	581
EOG092610VI	Complete	evm.model.scaffold_3.83	1235.4	1063
EOG092610ZY	Complete	evm.model.scaffold_1.109	1115.7	838
EOG09261127	Complete	evm.model.scaffold_2.17	817.8	437
EOG0926112A	Complete	evm.model.scaffold_3.81	644.7	723
EOG09261145	Complete	evm.model.scaffold_3.139	832.9	474
EOG0926115P	Complete	evm.model.scaffold_3.38	251.8	219
EOG0926115V	Complete	evm.model.scaffold_4.136	159.5	197
EOG092611G7	Complete	evm.model.scaffold_1.293	633.2	530
EOG092611HB	Missing
EOG09261225	Complete	evm.model.scaffold_1.125	948.3	484
EOG0926129I	Complete	evm.model.scaffold_1.140	415.9	464
EOG092612AK	Missing
EOG092612CC	Complete	evm.model.scaffold_4.145	302.4	275
EOG092612J3	Complete	evm.model.scaffold_4.148	146.6	384
EOG092612LP	Complete	evm.model.scaffold_1.225	713.8	516
EOG092612MY	Complete	evm.model.scaffold_1.261	729.2	650
EOG092612XD	Complete	evm.model.scaffold_3.19	812.3	852
EOG0926131E	Complete	evm.model.scaffold_1.270	524.6	278
EOG0926133I	Complete	evm.model.scaffold_3.144	761.3	511
EOG0926137U	Complete	evm.model.scaffold_4.110	527.3	524
EOG092613QA	Complete	evm.model.scaffold_2.91	374.6	333
EOG092613R2	Missing
EOG092613S3	Complete	evm.model.scaffold_3.228	419.9	327
EOG092613UB	Complete	evm.model.scaffold_1.344	552.4	398
EOG09261404	Complete	evm.model.scaffold_2.81	477.8	441
EOG0926140Q	Complete	evm.model.scaffold_2.160	898.1	541
EOG0926142H	Complete	evm.model.scaffold_2.292	508.0	426
EOG0926142Y	Complete	evm.model.scaffold_2.26	531.3	527
EOG0926146A	Complete	evm.model.scaffold_3.26	706.2	544
EOG09261476	Complete	evm.model.scaffold_3.150	413.6	472
EOG092614DJ	Complete	evm.model.scaffold_3.45	358.0	308
EOG092614E6	Complete	evm.model.scaffold_3.196	865.0	498
EOG092614O9	Complete	evm.model.scaffold_1.300	582.7	506
EOG092614UB	Complete	evm.model.scaffold_1.255	404.1	331
EOG092614ZG	Complete	evm.model.scaffold_3.11	301.8	345
EOG0926158Y	Complete	evm.model.scaffold_1.179	376.6	397
EOG092615CC	Complete	evm.model.scaffold_4.116	567.6	467
EOG092615IE	Complete	evm.model.scaffold_2.33	608.8	503
EOG092615SM	Complete	evm.model.scaffold_1.290	647.3	596
EOG092615Y4	Complete	evm.model.scaffold_2.172	544.3	416
EOG09261660	Complete	evm.model.scaffold_4.167	418.0	418
EOG09261666	Complete	evm.model.scaffold_3.119	386.5	400
EOG092616QN	Complete	evm.model.scaffold_3.165	605.2	546
EOG092616YZ	Missing
EOG09261727	Missing
EOG092617AN	Complete	evm.model.scaffold_1.84	1166.5	862
EOG092617RN	Complete	evm.model.scaffold_3.155	1083.8	572
EOG092617RY	Missing
EOG092617S2	Complete	evm.model.scaffold_1.98	523.3	461
EOG09261801	Complete	evm.model.scaffold_1.310	339.7	383
EOG092618J9	Complete	evm.model.scaffold_1.24	372.4	363
EOG092618M2	Missing
EOG092618UZ	Missing
EOG0926195C	Missing
EOG092619EA	Missing
EOG092619GP	Complete	evm.model.scaffold_1.332	354.9	350
EOG092619L1	Complete	evm.model.scaffold_1.324	460.4	435
EOG092619MJ	Complete	evm.model.scaffold_4.56	587.5	458
EOG092619NK	Complete	evm.model.scaffold_4.24	875.4	558
EOG092619RJ	Complete	evm.model.scaffold_1.208	540.9	576
EOG092619VG	Complete	evm.model.scaffold_3.10	339.0	432
EOG09261A3K	Complete	evm.model.scaffold_4.198	960.1	883
EOG09261ABB	Missing
EOG09261ACJ	Complete	evm.model.scaffold_4.166	171.5	490
EOG09261AH9	Complete	evm.model.scaffold_4.114	573.2	534
EOG09261AMX	Missing
EOG09261B14	Complete	evm.model.scaffold_1.230	427.8	391
EOG09261B18	Missing
EOG09261B3Q	Complete	evm.model.scaffold_1.317	442.8	384
EOG09261B6Y	Complete	evm.model.scaffold_2.58	634.4	412
EOG09261BP0	Complete	evm.model.scaffold_1.211	381.4	415
EOG09261BPJ	Complete	evm.model.scaffold_4.163	409.1	465
EOG09261C0G	Complete	evm.model.scaffold_4.135	467.1	533
EOG09261CM0	Missing
EOG09261CQG	Complete	evm.model.scaffold_1.142	617.7	482
EOG09261CWO	Complete	evm.model.scaffold_4.10	204.9	388
EOG09261CXQ	Complete	evm.model.scaffold_1.30	335.0	370
EOG09261D4D	Complete	evm.model.scaffold_3.18	525.4	375
EOG09261DG0	Complete	evm.model.scaffold_4.71	206.9	258
EOG09261DGU	Complete	evm.model.scaffold_1.86	615.5	496
EOG09261DHR	Complete	evm.model.scaffold_1.143	857.2	497
EOG09261DJC	Complete	evm.model.scaffold_2.159	227.1	358
EOG09261DRB	Complete	evm.model.scaffold_4.94	161.3	272
EOG09261DW8	Complete	evm.model.scaffold_3.219	507.8	447
EOG09261EAB	Missing
EOG09261EM7	Complete	evm.model.scaffold_3.244	271.6	286
EOG09261EMF	Complete	evm.model.scaffold_2.236	239.1	277
EOG09261EU7	Complete	evm.model.scaffold_1.5	320.8	295
EOG09261EY9	Complete	evm.model.scaffold_3.233	455.4	435
EOG09261F73	Complete	evm.model.scaffold_1.62	783.3	412
EOG09261F9G	Complete	evm.model.scaffold_3.57	170.9	137
EOG09261FAB	Complete	evm.model.scaffold_3.84	172.1	217
EOG09261FAX	Complete	evm.model.scaffold_3.20	383.8	416
EOG09261FH7	Complete	evm.model.scaffold_2.196	656.3	506
EOG09261FM4	Complete	evm.model.scaffold_2.299	361.5	398
EOG09261G1Y	Complete	evm.model.scaffold_1.186	1139.7	619
EOG09261G4Z	Complete	evm.model.scaffold_1.144	319.6	302
EOG09261G92	Complete	evm.model.scaffold_3.47	276.1	254
EOG09261H5E	Complete	evm.model.scaffold_2.14	473.9	367
EOG09261HB6	Missing
EOG09261HM3	Complete	evm.model.scaffold_2.135	855.8	484
EOG09261HQU	Complete	evm.model.scaffold_3.72	228.2	265
EOG09261HZD	Complete	evm.model.scaffold_1.116	441.0	378
EOG09261I0F	Complete	evm.model.scaffold_3.247	344.3	349
EOG09261I1G	Complete	evm.model.scaffold_4.62	408.2	429
EOG09261I1I	Complete	evm.model.scaffold_2.85	473.6	493
EOG09261I8J	Complete	evm.model.scaffold_1.245	309.9	294
EOG09261IBJ	Missing
EOG09261ICI	Complete	evm.model.scaffold_1.40	366.0	315
EOG09261IEH	Missing
EOG09261IEV	Missing
EOG09261IFQ	Missing
EOG09261IOS	Complete	evm.model.scaffold_2.125	603.5	405
EOG09261J0P	Complete	evm.model.scaffold_4.30	931.9	494
EOG09261JCQ	Complete	evm.model.scaffold_2.142	517.7	345
EOG09261JR0	Complete	evm.model.scaffold_1.50	376.4	299
EOG09261JUE	Complete	evm.model.scaffold_1.177	791.5	453
EOG09261JVS	Fragmented	evm.model.scaffold_2.132	186.8	191
EOG09261JWS	Complete	evm.model.scaffold_2.259	518.7	393
EOG09261K9J	Complete	evm.model.scaffold_1.203	239.6	354
EOG09261KHB	Complete	evm.model.scaffold_3.256	983.3	455
EOG09261KRX	Missing
EOG09261KZ6	Complete	evm.model.scaffold_4.70	400.6	265
EOG09261L4M	Complete	evm.model.scaffold_4.154	569.4	483
EOG09261LEU	Complete	evm.model.scaffold_2.100	340.7	294
EOG09261LPY	Complete	evm.model.scaffold_1.346	434.8	282
EOG09261LV7	Complete	evm.model.scaffold_2.242	324.1	459
EOG09261M4S	Complete	evm.model.scaffold_3.23	362.2	331
EOG09261M78	Complete	evm.model.scaffold_3.129	560.5	392
EOG09261MG9	Complete	evm.model.scaffold_2.79	671.6	398
EOG09261MMR	Complete	evm.model.scaffold_1.323	414.8	381
EOG09261MOX	Complete	evm.model.scaffold_1.309	411.4	549
EOG09261MPU	Complete	evm.model.scaffold_1.9	584.0	343
EOG09261N20	Complete	evm.model.scaffold_1.28	159.9	280
EOG09261N2L	Missing
EOG09261N64	Complete	evm.model.scaffold_2.68	698.8	430
EOG09261NLR	Complete	evm.model.scaffold_2.185	774.3	470
EOG09261NLY	Missing
EOG09261NW2	Missing
EOG09261O4Y	Complete	evm.model.scaffold_1.219	592.6	390
EOG09261O7R	Complete	evm.model.scaffold_4.130	112.3	238
EOG09261OIA	Complete	evm.model.scaffold_2.53	691.1	540
EOG09261OIF	Complete	evm.model.scaffold_1.21	662.2	412
EOG09261OKK	Complete	evm.model.scaffold_2.253	390.9	300
EOG09261OLD	Complete	evm.model.scaffold_3.207	607.1	409
EOG09261ONU	Complete	evm.model.scaffold_4.65	165.6	158
EOG09261OSU	Complete	evm.model.scaffold_3.131	744.4	437
EOG09261OXD	Missing
EOG09261OXV	Complete	evm.model.scaffold_3.197	637.6	747
EOG09261P7G	Complete	evm.model.scaffold_2.67	302.4	258
EOG09261PJZ	Complete	evm.model.scaffold_2.29	229.5	150
EOG09261PNZ	Complete	evm.model.scaffold_2.89	315.9	407
EOG09261PUF	Complete	evm.model.scaffold_3.93	720.6	413
EOG09261Q18	Complete	evm.model.scaffold_4.23	452.5	393
EOG09261Q5L	Complete	evm.model.scaffold_2.129	349.9	325
EOG09261QR5	Complete	evm.model.scaffold_1.305	457.0	449
EOG09261QR8	Complete	evm.model.scaffold_4.53	402.1	342
EOG09261QXC	Missing
EOG09261QYO	Complete	evm.model.scaffold_3.96	461.3	456
EOG09261RFF	Complete	evm.model.scaffold_2.193	539.1	353
EOG09261RU1	Complete	evm.model.scaffold_4.64	631.3	378
EOG09261RWJ	Complete	evm.model.scaffold_3.99	803.6	454
EOG09261RWU	Complete	evm.model.scaffold_3.160	361.7	352
EOG09261S0S	Complete	evm.model.scaffold_1.288	154.7	153
EOG09261S7X	Complete	evm.model.scaffold_2.10	178.5	257
EOG09261SS1	Complete	evm.model.scaffold_3.220	420.0	324
EOG09261T6U	Complete	evm.model.scaffold_4.120	826.9	463
EOG09261T74	Complete	evm.model.scaffold_2.265	907.4	439
EOG09261T98	Complete	evm.model.scaffold_2.240	689.8	400
EOG09261TEQ	Complete	evm.model.scaffold_2.124	685.8	471
EOG09261TPN	Complete	evm.model.scaffold_3.174	916.8	437
EOG09261UMG	Complete	evm.model.scaffold_2.165	706.5	481
EOG09261UOJ	Complete	evm.model.scaffold_3.8	378.5	344
EOG09261UPM	Complete	evm.model.scaffold_4.142	315.5	446
EOG09261UWT	Complete	evm.model.scaffold_2.189	334.1	208
EOG09261V03	Complete	evm.model.scaffold_3.95	468.6	335
EOG09261V2P	Missing
EOG09261V87	Complete	evm.model.scaffold_2.119	351.3	326
EOG09261V9P	Complete	evm.model.scaffold_4.74	641.7	442
EOG09261VD2	Complete	evm.model.scaffold_2.224	792.8	438
EOG09261VI3	Complete	evm.model.scaffold_4.21	972.4	462
